category_id,display_name,parent_category_id,parent_display_name,level,path
animals_pets,Animals & Pets,,,top,/categories/animals_pets
animal_health,Animal Health,animals_pets,Animals & Pets,sub,/categories/animal_health
animal_parks_zoo,Animal Parks & Zoo,animals_pets,Animals & Pets,sub,/categories/animal_parks_zoo
cats_dogs,Cats & Dogs,animals_pets,Animals & Pets,sub,/categories/cats_dogs
horses_riding,Horses & Riding,animals_pets,Animals & Pets,sub,/categories/horses_riding
pet_services,Pet Services,animals_pets,Animals & Pets,sub,/categories/pet_services
pet_stores,Pet Stores,animals_pets,Animals & Pets,sub,/categories/pet_stores
beauty_wellbeing,Beauty & Well-being,,,top,/categories/beauty_wellbeing
cosmetics_makeup,Cosmetics & Makeup,beauty_wellbeing,Beauty & Well-being,sub,/categories/cosmetics_makeup
hair_care_styling,Hair Care & Styling,beauty_wellbeing,Beauty & Well-being,sub,/categories/hair_care_styling
personal_care,Personal Care,beauty_wellbeing,Beauty & Well-being,sub,/categories/personal_care
salons_clinics,Salons & Clinics,beauty_wellbeing,Beauty & Well-being,sub,/categories/salons_clinics
tattoos_piercings,Tattoos & Piercings,beauty_wellbeing,Beauty & Well-being,sub,/categories/tattoos_piercings
wellness_spa,Wellness & Spa,beauty_wellbeing,Beauty & Well-being,sub,/categories/wellness_spa
yoga_meditation,Yoga & Meditation,beauty_wellbeing,Beauty & Well-being,sub,/categories/yoga_meditation
business_services,Business Services,,,top,/categories/business_services
administration_services,Administration & Services,business_services,Business Services,sub,/categories/administration_services
associations_centers,Associations & Centers,business_services,Business Services,sub,/categories/associations_centers
hr_recruiting,HR & Recruiting,business_services,Business Services,sub,/categories/hr_recruiting
import_export,Import & Export,business_services,Business Services,sub,/categories/import_export
it_communication,IT & Communication,business_services,Business Services,sub,/categories/it_communication
office_space_supplies,Office Space & Supplies,business_services,Business Services,sub,/categories/office_space_supplies
print_graphic_design,Print & Graphic Design,business_services,Business Services,sub,/categories/print_graphic_design
research_development,Research & Development,business_services,Business Services,sub,/categories/research_development
sales_marketing,Sales & Marketing,business_services,Business Services,sub,/categories/sales_marketing
shipping_logistics,Shipping & Logistics,business_services,Business Services,sub,/categories/shipping_logistics
wholesale,Wholesale,business_services,Business Services,sub,/categories/wholesale
construction_manufactoring,Construction & Manufacturing,,,top,/categories/construction_manufactoring
architects_engineers,Architects & Engineers,construction_manufactoring,Construction & Manufacturing,sub,/categories/architects_engineers
building_materials,Building Materials,construction_manufactoring,Construction & Manufacturing,sub,/categories/building_materials
chemicals_plastic,Chemicals & Plastic,construction_manufactoring,Construction & Manufacturing,sub,/categories/chemicals_plastic
construction_services,Construction Services,construction_manufactoring,Construction & Manufacturing,sub,/categories/construction_services
contractors_consultants,Contractors & Consultants,construction_manufactoring,Construction & Manufacturing,sub,/categories/contractors_consultants
factory_equipment,Factory Equipment,construction_manufactoring,Construction & Manufacturing,sub,/categories/factory_equipment
garden_landscaping,Garden & Landscaping,construction_manufactoring,Construction & Manufacturing,sub,/categories/garden_landscaping
industrial_supplies,Industrial Supplies,construction_manufactoring,Construction & Manufacturing,sub,/categories/industrial_supplies
manufacturing,Manufacturing,construction_manufactoring,Construction & Manufacturing,sub,/categories/manufacturing
production_services,Production Services,construction_manufactoring,Construction & Manufacturing,sub,/categories/production_services
tools_equipment,Tools & Equipment,construction_manufactoring,Construction & Manufacturing,sub,/categories/tools_equipment
education_training,Education & Training,,,top,/categories/education_training
colleges_universities,Colleges & Universities,education_training,Education & Training,sub,/categories/colleges_universities
courses_classes,Courses & Classes,education_training,Education & Training,sub,/categories/courses_classes
education_services,Education Services,education_training,Education & Training,sub,/categories/education_services
language_learning,Language Learning,education_training,Education & Training,sub,/categories/language_learning
music_theater_classes,Music & Theater Classes,education_training,Education & Training,sub,/categories/music_theater_classes
school_high_school,School & High School,education_training,Education & Training,sub,/categories/school_high_school
